,Name,Continent,Min_Altitude,Max_Altitude,Total_ski_routes,Easy,Intermediate,Difficult,Aditional_Routes,Lifts,Adults,Youth,Children,Current_season_start,Current_season_finish,General_season_start,General_season_finish,Opening_time,Closing_time
187,Mt. Ashland,America,1932,2286,13.0,1.0,7.0,5.0,,4.0,52,42,,,nan,,, 09:00,16:00
188,Song Mountain,America,400,585,13.0,4.5,6.0,2.5,,5.0,59,49,,,nan,,, 09:30,21:00
189,Shanty Creek Resorts – Schuss Mountain,America,250,356,12.0,5.0,4.0,3.0,,5.0,73,63,58,,nan,,, 09:00,21:00Limited opening times during the week
190,Jiminy Peak,America,380,724,9.1,4.1,2.0,3.0,,7.0,91,81,71,,nan,,, 08:30,22:00Limited opening times during the week
191,Crotched Mountain,America,362,630,8.0,2.5,4.0,1.5,,4.0,69,59,,,nan,,, 09:00,21:00
192,Teton Pass,America,1886,2194,15.0,6.0,5.0,4.0,,6.0,50,45,,,nan, late November,, 09:30,16:00
193,Loup Loup Ski Bowl,America,1240,1620,11.0,3.0,5.0,3.0,,3.0,50,42,39,,nan,,, 09:00,15:45Limited opening times during the week
194,Caberfae Peaks,America,357,467,11.0,4.0,5.0,2.0,,5.0,59,54,49,,nan,,, 09:00,21:00
195,Mt. Kato,America,241,313,12.0,2.5,4.5,5.0,,10.0,46,36,,,nan,,, 09:30,21:00Limited opening times during the week
196,Bromley Mountain,America,594,1001,,,,,,,91,80,66,,nan,,, 08:30,16:00
197,"[""Devil's Head""]",America,150,303,10.0,3.0,3.5,3.5,,6.0,,,,,nan,,,,nan
198,Big Powderhorn Mountain,America,350,540,10.0,3.5,3.5,3.0,,10.0,69,56,44,,nan,,, 09:00,16:00
199,Mt. Bohemia,America,190,445,13.0,0.0,3.0,10.0,,2.0,68,,,,nan, mid December,, 09:30,17:00Limited opening times during the week
200,Jack Frost Mountain,America,427,610,12.0,6.0,5.5,0.5,,11.0,103,,,,nan,,, 09:00,21:00
201,Bear Creek Mountain Resort,America,180,335,10.0,3.0,4.0,3.0,,4.0,60,49,,,nan,,, 09:00,21:00
202,Tahoe Donner,America,2057,2240,14.0,6.0,8.0,0.0,,2.0,89,79,59,,nan, early December,, 09:00,16:00
203,Suicide Six,America,220,411,10.5,3.5,4.0,3.0,,3.0,75,60,,,nan,,, 09:00,16:00
204,Whaleback,America,347,543,11.5,5.2,2.8,3.5,,3.0,,,,,nan,,,,nan
