,Nombre
360,Lélex/Crozet
361,Thollon les Mémises
362,Strandafjellet
363,St. Pierre de Chartreuse – Le Planolet
364,Patscherkofel – Innsbruck-Igls
365,Vercorin
366,Porté Puymorens
367,La Berra – La Roche
368,Carì
369,Ovronnaz
370,Astún
371,Kolbensattel – Oberammergau
372,Štrbské Pleso
373,Willingen – Ettelsberg
374,Tarvisio – Monte Lussari
375,Valmalenco – Alpe Palù
376,SuperBesse – Puy de Sancy
377,Glacier 3000 – Les Diablerets
378,Krvavec
379,Pragelato
380,Luchon-Superbagnères
381,Mt. Elbrus
382,Port del Comte
383,Alpe du Grand-Serre – La Morte
384,Hirmentaz/Les Habères – Bellevaux/Habère-Poche
385,Campo Felice – Rocca di Cambio
386,Innerkrems – Kremsbrücke (Krems in Kärnten)
387,Wasserngrat – Gstaad
388,Braunwald
389,Montecampione – Alpiaz/Prato Secondino/Plan di Montecampione
390,Bláfjöll
391,Dachstein Glacier (Dachsteingletscher)
392,Neunerköpfle – Tannheim
393,Füssener Jöchle – Grän
394,Kitzbüheler Horn
395,Klewenalp/Stockhütte – Beckenried/Emmetten
396,Balme/Les Autannes – Vallorcine/Le Tour
397,Le Collet d'Allevard
398,Antagnod
399,Guzet
400,Pamporovo
401,Tschiertschen
402,Abriès
403,Valdezcaray
404,Jenner – Königssee (Schönau am Königssee)
405,Forni di Sopra
406,Artouste
407,Präbichl – Vordernberg
408,Torgnon
409,Norefjell
410,Port Ainé
411,Monte Magnola – Ovindoli
412,Champorcher
413,Koralpe
414,Métabief
415,Evolène
416,Postwiesen Skidorf – Neuastenberg
417,Les Brasses
418,Romme Alpin
419,Zugspitze
420,Pröller Skidreieck (St. Englmar)
421,Piana di Vigezzo – Craveggia/Santa Maria Maggiore
422,Kaiseregg/Riggisalp – Schwarzsee
423,Big Wood
424,Padola – Ski Area Comelico
425,Kläppen
426,Lofsdalen
427,Sangiacomo/Cardini – Monte Alpet
428,Pesciüm – Airolo
429,Geilo
430,Straja
431,Jaun
432,Kasberg – Grünau im Almtal
433,Sinaia
434,Pralognan la Vanoise
435,Nax – Mont-Noble
436,Lorica
437,Bonneval sur Arc
438,Foppolo/Carona (Brembo Ski)
439,Hoch-Imst – Imst
440,La Colmiane
441,Stari Vrh
442,Lagazuói/5 Torri – Passo Giau/Passo Falzàrego
443,Cerkno
444,Rittner Horn (Corno del Renon) – Ritten (Renon)
445,Borovets
446,Schetteregg – Egg
447,San Vito di Cadore
448,Reith bei Kitzbühel
449,Gérardmer – La Mauselaine
450,Albiez-Montrond
451,Macugnaga
452,Brambrüesch/Dreibündenstein – Chur
453,Petzen – Feistritz ob Bleiburg
454,Vitosha – Sofia
455,Nevis Range
456,La Pinilla
457,Roc d'Enfer – St. Jean d'Aulps-La Grande Terche/Bellevaux-La Chèvrerie
458,Narvikfjellet – Narvik
459,Giw – Visperterminen
460,Mijoux/La Faucille
461,Gressoney-Saint-Jean – Weissmatten
462,Branäs
463,Tänndalen
464,Mechi Chal – Chepelare
465,Altopiano di Brentonico – Polsa/San Valentino
466,Arnoldstein – Dreiländereck
467,Falakro
468,Piancavallo
469,Chabanon
470,Sainte-Anne la Condamine – La Condamine-Châtelard
471,Popova Sapka
472,Catinaccio/Ciampedie – Vigo di Fassa/Pera di Fassa
473,Gemeindealpe – Mitterbach am Erlaufsee
474,Alto Campoo
475,La Dôle – Jura sur Léman
476,Bürgeralpe – Mariazell
477,La Pierre Saint Martin
478,Belchen
479,Geißkopf – Bischofsmais
