,Adults,Youth,Children
498,,,
499,,,
500,,,
501," 40,- "," 35,- ", 23.50__
502, 24.50 , 20.80 , 19.60__
503, 23.50 , 19.40__,
504,,,
505,,,
506," 34,- "," 29,- ", 18.50__
507," 33,- "," 28,- "," 17,-__"
508,,,
509,,,
510,,,
511,,,
512,,,
513,,,
514, 19.50 ," 14,-__",
515," 23,- "," 19,- "," 13,-__"
516," 52,- "," 26,-__",
517," 30,- "," 20,-__",
518," 52,- approx. "," 45,- approx. "," 29,-__"
519,,,
520," 38,- "," 24,- "," 19,-__"
521," 32,- approx. "," 23,- approx. "," 18,-__"
522," 20,- approx. "," 16,- approx. "," 14,-__"
523," 36,- approx. "," 30,- approx. "," 20,-__"
524,,,
525,,,
526,,,
527," 41,- "," 37,- "," 25,-__"
528,,,
529," 41,- approx. "," 26,-__",
530," 27,- approx. "," 18,-__",
531,,,
532," 31,- approx. "," 27,- approx. "," 23,-__"
533," 19,- approx. "," 15,-__",
534,,,
535," 43,- approx. "," 36,-__",
536,,,
537,,,
538,,,
539, 25.70 , 22.10__,
540,,,
541,,,
542," 33,- "," 26,- "," 6,-__"
543," 34,- "," 28,- "," 23,-__"
544,,,
545,,,
546,,,
547, 30.50 , 15.50__,
548," 30,- approx. "," 17,-__",
549,,,
550,,,
551,,,
552," 32,- "," 19,-__",
553," 24,- approx. "," 20,-__",
554," 42,- approx. "," 35,- approx. "," 29,-__"
555," 34,- "," 27,- "," 23,-__"
556,,,
557,,,
558," 34,- "," 28,- "," 23,-__"
559,,,
560,,,
561,,,
562, 39.50 ," 30,- "," 10,-__"
563,,,
564," 32,- ", 26.90__,
565, 35.50 , 29.50 ," 21,-__"
566,,,
567," 30,- "," 26,-__",
568,,,
569," 36,- approx. "," 30,- approx. "," 18,-__"
570,,,
571,,,
572," 42,- "," 38,- ", 23.50__
573," 35,- approx. "," 22,-__",
574,,,
575,,,
576,,,
577,,,
578," 41,- approx. "," 29,-__",
579,,,
580," 25,- approx. "," 20,- approx. "," 15,-__"
581," 53,- approx. "," 43,-__",
582,,,
583,,,
584,,,
585,,,
586,,,
587,,,
588,,,
589," 28,- approx. "," 23,-__",
590," 34,- "," 25,- ", 19.50__
591," 25,- approx. "," 23,-__",
592,,,
593," 28,- "," 24,-__",
594," 37,- "," 33,- "," 21,-__"
595,,,
596," 44,- ", 37.50 , 22.50__
597," 40,- approx. "," 31,- approx. "," 20,-__"
598,,,
599,,,
600," 22,- approx. "," 17,-__",
601,,,
602, 35.70 ," 30,- ", 19.60__
603,,,
604,,,
605,,,
606,,,
607,,,
608,,,
609,,,
610,,,
611,,,
612,,,
613,,,
614,,,
615," 40,- "," 35,- ", 23.50__
616,,,
617,,,
618,,,
619,,,
620,,,
621,,,
622,,,
623,,,
624," 42,- ", 34.50 ," 26,-__"
625,,,
626," 32,- approx. "," 20,-__",
627,,,
628,,,
629,,,
630," 24,- "," 20,- "," 18,-__"
631, 48.50 ," 45,-__",
632," 32,- "," 19,- "," 10,-__"
633,,,
634,,,
635,,,
636, 20.30 ," 18,-__",
637,,,
638,,,
639,,,
640," 36,- "," 30,- "," 21,-__"
641,,,
642, 35.50 , 27.90 , 19.70__
643,,,
644,,,
645," 30,- "," 27,- ", 20.50__
646," 20,- approx. "," 14,-__",
647,,,
648,,,
649, 31.50 , 28.50 , 17.50__
650,,,
651,,,
652,,,
653," 40,- "," 33,- "," 22,-__"
654,,,
655," 29,- "," 23,- "," 18,-__"
656,,,
657,,,
658,,,
659,,,
660,,,
661,,,
662,,,
663,,,
664,,,
665, 39.50 ," 30,- "," 10,-__"
666,,,
667, 50.50 ," 38,- ", 25.50__
668,,,
669," 27,- "," 22,-__",
670," 37,- approx. "," 32,- approx. "," 27,-__"
671,,,
672,,,
673," 16,- "," 10,-__",
674," 20,- "," 16,-__",
675," 26,- ", 21.50 ," 17,-__"
676, 29.50 , 23.50 , 17.50__
677,,,
678,,,
679, 25.50 ," 23,- "," 22,-__"
680,,,
681,,,
682," 41,- "," 33,- ", 25.50__
683,,,
684," 24,- approx. "," 19,-__",
685,,,
686,,,
687," 31,- approx. "," 22,-__",
688," 25,- approx. "," 23,-__",
689," 28,- "," 25,- "," 13,-__"
690," 30,- "," 25,- "," 19,-__"
691,,,
692,,,
693," 30,- "," 22,- "," 17,-__"
694,,,
695,,,
696,,,
697, 51.50 , 39.50 ," 26,-__"
698,,,
699,,,
700,,,
701,,,
702,,,
703," 27,- approx. "," 22,- approx. "," 19,-__"
704,,,
705,,,
706,,,
707,,,
708," 38,- "," 20,-__",
709,,,
710,,,
711," 36,- approx. "," 34,- approx. "," 24,-__"
712,,,
713,,,
714,,,
715," 22,- approx. "," 18,-__",
716,,,
717,,,
718,,,
719, 30.50 , 28.50 ," 22,-__"
720,,,
721, 44.50 ," 32,- ", 22.20__
722," 21,- "," 14,-__",
723," 36,- ", 33.50 ," 22,-__"
724, 48.50 ," 45,-__",
725," 29,- "," 23,- ", 14.50__
726," 25,- approx. "," 23,-__",
727,,,
728," 28,- "," 21,-__",
729,,,
730,,,
731," 32,- "," 28,- "," 18,-__"
732," 46,- ", 34.50 ," 28,-__"
733," 39,- approx. "," 30,- approx. "," 22,-__"
734,,,
735,,,
736,,,
737,,,
738,,,
739," 32,- "," 26,- "," 18,-__"
740," 69,- approx. "," 35,- approx. "," 25,-__"
741,,,
742,,,
743," 31,- "," 27,- ", 18.50__
744,,,
745,,,
746,,,
747,,,
748,,,
749,,,
750,,,
751,,,
752,,,
753,,,
754," 48,- approx. "," 43,- approx. "," 27,-__"
755,,,
756,,,
757," 28,-__",,
758,,,
759,,,
760,,,
761,,,
762," 32,- "," 30,- "," 20,-__"
763,,,
764,,,
765, 37.50 ," 31,- ", 20.50__
766,,,
767,,,
768,,,
769,,,
770,,,
771,,,
772," 33,- approx. "," 24,-__",
773,,,
774,,,
775,,,
776,,,
