,Pistas_Totales,Easy,Intermediate,Difficult,Aditional_Routes
852,14.2,2.4,9.2,2.6,
853,11.6,3.1,8.5,0,
854,7,3,3.3,0.7,
855,7,2,4,1,
856,8,3.5,3.6,0.9,
857,8,5,2,1,
858,13,5,6,2,
859,13.1,5.3,5.9,1.9,
860,14.2,8.3,1.6,4.3,
861,10.4,5,5,0.4,
862,14,6,6,2,
863,3.2,0,0,3.2,
864,8,4,3,1,
865,10.5,3.5,5,2,
866,3.9,1.3,1.8,0.8,
867,10.1,5.4,4.7,0,
868,6,2,3.2,0.8,
869,5,1.5,1.5,2,
870,6.5,2.7,2.5,1.3,
871,10,5,4,1,
872,5,3,1,1,
873,4,4,0,0,
874,1,0.6,0.4,0,
875,6,0,4,2,
876,1,1,0,0,
877,3,0.8,2.1,0.1,
878,6,2,3,1,
879,8.5,2.9,4.9,0.7,1.5
880,7,4,3,0,
881,15,3,11,1,
882,13.7,12,1,0.7,
883,14,7,5,2,
884,15,6.8,6.8,1.4,
885,3.7,2.2,1.5,0,
886,8,4,3,1,
887,5.4,0.6,2.7,2.1,
888,8.4,6.2,1.8,0.4,
889,13,5,7,1,
890,6.5,2.5,2.7,1.3,
891,6.4,3,1.8,1.6,
892,,,,,
893,14,0,0,14,
894,5.8,0.5,4.3,1,
895,,,,,
896,2.5,1,1,0.5,
897,6,2,3,1,
898,7,4,3,0,1.5
899,5,3,1,1,
900,11.2,0,7,4.2,
901,6,3,2,1,
902,12,4.5,6,1.5,
903,4.2,1.5,2,0.7,
904,11.5,3,6,2.5,
905,9,5,2,2,
906,5.5,2.7,2,0.8,
907,2.5,0,2.5,0,3.5
908,8,6,2,0,
909,10,4,5,1,
910,7,4.5,2,0.5,
911,7,3,4,0,
912,11,6,3,2,
913,12,4,6,2,1
914,5,2.4,2.4,0.2,
915,10,7,1,2,
916,11.7,4,5.2,2.5,
917,5.9,2.4,2.5,1,
918,12,6,4,2,
919,6.8,5.5,1.3,0,3.5
920,12,4,5,3,
921,4,3,1,0,
922,7,2,5,0,
923,6.6,1,5,0.6,
924,8,3,5,0,
925,12,6,6,0,
926,6,4,2,0,
927,11,3,7,1,
928,15,8,7,0,
929,11,4,7,0,
930,12,8,3,1,
931,12,10,2,0,
932,12,8,3,1,
933,15,10,5,0,
934,11.2,8,2.5,0.7,
935,5.9,4,1.9,0,
936,13,5,8,0,
